empty_slots,free_bikes,Latitude,Longitude,Bike_station,Total_bikes,Category,Rating,Restaurant_name,Location,Distance
9,7,49.27,-123.12,Yaletown-Roundhouse Station,16,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
9,7,49.27,-123.12,Yaletown-Roundhouse Station,16,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
4,10,49.27,-123.12,Spyglass & Seawall,14,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
4,10,49.27,-123.12,Spyglass & Seawall,14,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
6,8,49.27,-123.12,Stamps Landing,14,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
6,8,49.27,-123.12,Stamps Landing,14,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
9,11,49.27,-123.12,Marinaside & Davie,20,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
9,11,49.27,-123.12,Marinaside & Davie,20,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
15,2,49.27,-123.12,7th & Heather,17,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
15,2,49.27,-123.12,7th & Heather,17,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
8,5,49.27,-123.12,7th & Laurel,13,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
8,5,49.27,-123.12,7th & Laurel,13,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
18,8,49.27,-123.12,Olympic Village Station,26,Restaurant,-1.0,Ganache Patisserie ,1262 Homer St ,674.0
18,8,49.27,-123.12,Olympic Village Station,26,Breakfast & Brunch,4.5, OEB Breakfast Co. Yaletown, 1137 Marinaside Crescent,1956.67
20,6,49.28,-123.11,Dunsmuir & Beatty,26,Restaurant,-1.0,Le Doux Ciel ,65 Smithe St ,674.0
20,6,49.28,-123.11,Dunsmuir & Beatty,26,Flower Store,-1.0,Heathers the Flowershop ,422 Cordova St W ,849.0
