Category,Distance,Latitude,Longitude,Location,Name,location.po_box
Restaurant,721,49.285337,-123.125632,1141 Robson St,Ladurée,
Restaurant,674,49.274548,-123.124143,1262 Homer St,Ganache Patisserie,
Taiwanese Restaurant,897,49.286305,-123.127742,1232 Robson St,Meet Fresh,
Flower Store,228,49.281934,-123.117959,1b21-650 Georgia St W,Bay Fresh Flowers,
Flower Store,407,49.28055,-123.125547,1001 Hornby St,Wall Flowers,
Flower Store,452,49.275835,-123.119953,1024 Mainland St,Divine Vines,
Flower Store,472,49.284014,-123.120083,925 Georgia St W,Angela & Gabriel's Flowers Inc,
Restaurant,514,49.276251,-123.115608,910 Beatty St,Le Cassis Patisserie & Cooking School,
Flower Store,523,49.284595,-123.118186,888 Dunsmuir St,7 Foot Florist,
Flower Store,548,49.277354,-123.126734,730 Davie St,Downtown Florist,
Flower Store,563,49.286227,-123.119623,595 Burrard St,Angela & Gabriel's Flowers Inc,PO Box 49302
Flower Store,571,49.28233,-123.116208,655 Seymour St,Queensberry Flower Co,
Flower Store,574,49.2774,-123.127144,730 Davie St,Downtown Gifts and Flowers,
Flower Store,593,49.278317,-123.127709,843 Davie St,Eden Florist,
Flower Store,615,49.285609,-123.119814,St Corner of Burrard St,Flower Expression,
Restaurant,674,49.275973,-123.114043,65 Smithe St,Le Doux Ciel,
Flower Store,849,49.284048,-123.110189,422 Cordova St W,Heathers the Flowershop,
Flower Store,852,49.286875,-123.114649,880 Cordova St W,First Blossom Floral Boutique,
Flower Store,885,49.287879,-123.121143,1125W Pender St W,Vivio Flower Atelier Ltd,
Flower Store,886,49.281158,-123.132008,1139 Davie St,Davie Flowers,
Flower Store,888,49.288029,-123.121075,1125 Pender St W,La Florería,
Flower Store,967,49.288646,-123.121777,1177 Hastings St W,Lavender & Lilacs Florist,
Flower Store,2462,49.274399,-123.126888,1359 Richards St,Sunflower Florist Ltd,
Flower Store,214,49.279824,-123.117049,437 Robson St,Fleurs d'Amour,
Flower Store,334,49.279695,-123.115415,345 Robson St,Bonus Eventus Florist,
Flower Store,380,49.282485,-123.116383,655 Seymour St,Granville Station Flowers,
Flower Store,382,49.280149,-123.12527,1001 Hornby St,Thomas Hobbs Florist,
Flower Store,537,49.282906,-123.114067,531 Richards St,D&D Flowers,
Flower Store,604,49.285296,-123.121896,1055 Georgia St W,Choice Flowers,
Flower Store,628,49.285656,-123.120224,625 Burrard St,Flowers Aficionado,
Flower Store,643,49.28513,-123.115879,500 Howe St,Fran's Flowers,
Flower Store,647,49.283812,-123.113252,543 Pender St W,For the Moment Floral Designs,
Pastry Shop,730,49.28489,-123.126729,1151 Haro St,Comme Chez Ta Mère,
Flower Store,826,49.286473,-123.114371,325 Howe St,Cariboo Rose Resources Ltd,
Flower Store,862,49.286932,-123.114653,880 Cordova St W,Flowerz,
Flower Store,868,49.287745,-123.118374,1055W Hastings St W,Franchiselink,
Flower Store,914,49.287956,-123.116769,1011 Cordova St W,Axon Communications Inc,
Flower Store,957,49.288373,-123.116886,1038 Canada Pl,Granville Island Florist,
