Category,Distance_x,Latitude_x,Longitude_x,Location_x,Name_x,location.po_box,Name_y,review_count,Rating,Latitude_y,Longitude_y,Distance_y,Location_y
Restaurant,721.0,49.285337,-123.125632,1141 Robson St,Ladurée,,,,,,,,
Restaurant,674.0,49.274548,-123.124143,1262 Homer St,Ganache Patisserie,,,,,,,,
Restaurant,514.0,49.276251,-123.115608,910 Beatty St,Le Cassis Patisserie & Cooking School,,,,,,,,
Restaurant,674.0,49.275973,-123.114043,65 Smithe St,Le Doux Ciel,,,,,,,,
Taiwanese Restaurant,897.0,49.286305,-123.127742,1232 Robson St,Meet Fresh,,,,,,,,
Flower Store,228.0,49.281934,-123.117959,1b21-650 Georgia St W,Bay Fresh Flowers,,,,,,,,
Flower Store,407.0,49.28055,-123.125547,1001 Hornby St,Wall Flowers,,,,,,,,
Flower Store,452.0,49.275835,-123.119953,1024 Mainland St,Divine Vines,,,,,,,,
Flower Store,472.0,49.284014,-123.120083,925 Georgia St W,Angela & Gabriel's Flowers Inc,,,,,,,,
Flower Store,523.0,49.284595,-123.118186,888 Dunsmuir St,7 Foot Florist,,,,,,,,
Flower Store,548.0,49.277354,-123.126734,730 Davie St,Downtown Florist,,,,,,,,
Flower Store,563.0,49.286227,-123.119623,595 Burrard St,Angela & Gabriel's Flowers Inc,PO Box 49302,,,,,,,
Flower Store,571.0,49.28233,-123.116208,655 Seymour St,Queensberry Flower Co,,,,,,,,
Flower Store,574.0,49.2774,-123.127144,730 Davie St,Downtown Gifts and Flowers,,,,,,,,
Flower Store,593.0,49.278317,-123.127709,843 Davie St,Eden Florist,,,,,,,,
Flower Store,615.0,49.285609,-123.119814,St Corner of Burrard St,Flower Expression,,,,,,,,
Flower Store,849.0,49.284048,-123.110189,422 Cordova St W,Heathers the Flowershop,,,,,,,,
Flower Store,852.0,49.286875,-123.114649,880 Cordova St W,First Blossom Floral Boutique,,,,,,,,
Flower Store,885.0,49.287879,-123.121143,1125W Pender St W,Vivio Flower Atelier Ltd,,,,,,,,
Flower Store,886.0,49.281158,-123.132008,1139 Davie St,Davie Flowers,,,,,,,,
Flower Store,888.0,49.288029,-123.121075,1125 Pender St W,La Florería,,,,,,,,
Flower Store,967.0,49.288646,-123.121777,1177 Hastings St W,Lavender & Lilacs Florist,,,,,,,,
Flower Store,2462.0,49.274399,-123.126888,1359 Richards St,Sunflower Florist Ltd,,,,,,,,
Flower Store,214.0,49.279824,-123.117049,437 Robson St,Fleurs d'Amour,,,,,,,,
Flower Store,334.0,49.279695,-123.115415,345 Robson St,Bonus Eventus Florist,,,,,,,,
Flower Store,380.0,49.282485,-123.116383,655 Seymour St,Granville Station Flowers,,,,,,,,
Flower Store,382.0,49.280149,-123.12527,1001 Hornby St,Thomas Hobbs Florist,,,,,,,,
Flower Store,537.0,49.282906,-123.114067,531 Richards St,D&D Flowers,,,,,,,,
Flower Store,604.0,49.285296,-123.121896,1055 Georgia St W,Choice Flowers,,,,,,,,
Flower Store,628.0,49.285656,-123.120224,625 Burrard St,Flowers Aficionado,,,,,,,,
Flower Store,643.0,49.28513,-123.115879,500 Howe St,Fran's Flowers,,,,,,,,
Flower Store,647.0,49.283812,-123.113252,543 Pender St W,For the Moment Floral Designs,,,,,,,,
Flower Store,826.0,49.286473,-123.114371,325 Howe St,Cariboo Rose Resources Ltd,,,,,,,,
Flower Store,862.0,49.286932,-123.114653,880 Cordova St W,Flowerz,,,,,,,,
Flower Store,868.0,49.287745,-123.118374,1055W Hastings St W,Franchiselink,,,,,,,,
Flower Store,914.0,49.287956,-123.116769,1011 Cordova St W,Axon Communications Inc,,,,,,,,
Flower Store,957.0,49.288373,-123.116886,1038 Canada Pl,Granville Island Florist,,,,,,,,
Pastry Shop,730.0,49.28489,-123.126729,1151 Haro St,Comme Chez Ta Mère,,,,,,,,
"Vietnamese, Cocktail Bars",,,,,,,Anh and Chi,616.0,4.0,49.2550314422938,-123.100882202153,1666.0698459342414,3388 Main Street
"Canadian (New), Diners, Bars",,,,,,,AnnaLena,346.0,4.5,49.2708261,-123.1467714,2337.071855665719,1809 W 1st Avenue
Seafood,,,,,,,Blue Water Cafe,1051.0,4.5,49.2761945,-123.1209935,2244.533253205869,1095 Hamilton St
"Canadian (New), Cocktail Bars",,,,,,,Cactus Club Cafe,813.0,4.0,49.2895176422553,-123.1181077748714,3737.6936393129217,1085 Canada Place
Belgian,,,,,,,Chambar,1529.0,4.0,49.2801460007961,-123.109925328073,2855.66321769594,568 Beatty Street
Canadian (New),,,,,,,Fable Kitchen,764.0,4.5,49.2679331,-123.149019,2254.654256872216,1944 W 4th Avenue
"Seafood, Seafood Markets",,,,,,,Fanny Bay Oyster Bar & Shellfish Market,743.0,4.5,49.2787525,-123.1138689,2598.4589797732324,762 Cambie St
"Japanese, Tapas/Small Plates",,,,,,,Guu with Garlic,1043.0,4.5,49.290249,-123.1338142,3860.031994411108,1698 Robson Street
"Japanese, Tapas/Small Plates",,,,,,,Kingyo,1058.0,4.5,49.29061,-123.13714,3956.429708489889,871 Denman Street
Breakfast & Brunch,,,,,,,Jam Cafe on Beatty,1351.0,4.5,49.2802586,-123.1096376,2873.7041948423675,556 Beatty Street
Breakfast & Brunch,,,,,,,OEB Breakfast Co. Yaletown,717.0,4.5,49.2734341,-123.1192724,1956.674110836241,1137 Marinaside Crescent
"Seafood, Steakhouses",,,,,,,Joe Fortes Seafood & Chop House,1228.0,4.0,49.28493,-123.12473,3206.8270869548664,777 Thurlow Street
Italian,,,,,,,Lupo,436.0,4.5,49.27823,-123.1174,2499.669740790866,869 Hamilton Street
"Breakfast & Brunch, Middle Eastern, Wine Bars",,,,,,,Medina Cafe,2575.0,4.0,49.2804429972571,-123.117036269849,2749.797183069722,780 Richards Street
"Japanese, Sushi Bars, Vegetarian",,,,,,,Miku,2181.0,4.5,49.28691753455261,-123.11276314110472,3517.852907645416,200 Granville Street
"Cambodian, Vietnamese",,,,,,,Phnom Penh,1587.0,4.0,49.278431,-123.098205,3099.1363963772965,244 E Georgia Street
