Name,review_count,Rating,Latitude,Longitude,Distance,Location,Category
Anh and Chi,616,4.0,49.2550314422938,-123.100882202153,1666.0698459342414,3388 Main Street,"Vietnamese, Cocktail Bars"
AnnaLena,346,4.5,49.2708261,-123.1467714,2337.071855665719,1809 W 1st Avenue,"Canadian (New), Diners, Bars"
Blue Water Cafe,1051,4.5,49.2761945,-123.1209935,2244.533253205869,1095 Hamilton St,Seafood
Cactus Club Cafe,813,4.0,49.2895176422553,-123.11810777487139,3737.6936393129217,1085 Canada Place,"Canadian (New), Cocktail Bars"
Chambar,1529,4.0,49.2801460007961,-123.109925328073,2855.6632176959397,568 Beatty Street,Belgian
Fable Kitchen,764,4.5,49.2679331,-123.149019,2254.6542568722157,1944 W 4th Avenue,Canadian (New)
Fanny Bay Oyster Bar & Shellfish Market,743,4.5,49.2787525,-123.1138689,2598.4589797732324,762 Cambie St,"Seafood, Seafood Markets"
Guu with Garlic,1043,4.5,49.290249,-123.1338142,3860.031994411108,1698 Robson Street,"Japanese, Tapas/Small Plates"
Jam Cafe on Beatty,1351,4.5,49.2802586,-123.1096376,2873.7041948423675,556 Beatty Street,Breakfast & Brunch
Joe Fortes Seafood & Chop House,1228,4.0,49.28493,-123.12473,3206.8270869548664,777 Thurlow Street,"Seafood, Steakhouses"
Kingyo,1058,4.5,49.29061,-123.13714,3956.4297084898885,871 Denman Street,"Japanese, Tapas/Small Plates"
Lupo,436,4.5,49.27823,-123.1174,2499.669740790866,869 Hamilton Street,Italian
Medina Cafe,2575,4.0,49.2804429972571,-123.117036269849,2749.797183069722,780 Richards Street,"Breakfast & Brunch, Middle Eastern, Wine Bars"
Miku,2181,4.5,49.28691753455261,-123.11276314110472,3517.8529076454156,200 Granville Street,"Japanese, Sushi Bars, Vegetarian"
OEB Breakfast Co. Yaletown,717,4.5,49.2734341,-123.1192724,1956.674110836241,1137 Marinaside Crescent,Breakfast & Brunch
Phnom Penh,1587,4.0,49.278431,-123.098205,3099.1363963772965,244 E Georgia Street,"Cambodian, Vietnamese"
Published On Main,96,4.5,49.25283186017385,-123.10116032897228,1681.5494984604047,3593 Main Street,"Tapas/Small Plates, Wine Bars, Cocktail Bars"
Raisu,430,4.0,49.2679990419609,-123.158381134272,2837.7681565274274,2340 W 4th Avenue,"Japanese, Sushi Bars"
Suika,518,4.0,49.26333,-123.1417,1532.5496911067482,1626 W Broadway,"Japanese, Tapas/Small Plates, Sushi Bars"
The Flying Pig,1279,4.0,49.27501,-123.122,2108.8135227635885,1168 Hamilton Street,"Canadian (New), Seafood"
